City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,cherskiy,68,RU,1516867601,66,68.75,161.3,-8.58,3.74
213,khuzdar,0,PK,1516867601,23,27.8,66.62,64.82,5.97
214,walvis bay,56,NA,1516867089,100,-22.95,14.51,65.72,5.3
215,tabou,24,CI,1516867149,100,4.42,-7.36,79.09,7.87
216,inirida,92,CO,1516867604,96,3.87,-67.92,73.28,2.39
217,sompeta,24,IN,1516867604,43,18.93,84.6,83.0,4.29
218,puerto madryn,8,AR,1516867605,77,-42.77,-65.04,64.01,22.97
219,arraial do cabo,0,BR,1516867605,85,-22.97,-42.02,77.29,14.36
220,aswan,0,EG,1516867606,52,24.09,32.9,67.25,6.98
221,aksu,20,KZ,1516865400,74,52.04,76.93,-22.01,4.47
222,oswego,0,US,1516865700,56,37.17,-95.11,42.8,6.93
223,cidreira,100,BR,1516867608,90,-30.17,-50.22,71.75,8.21
224,grand gaube,75,MU,1516863600,83,-20.01,57.66,82.4,11.41
225,san jose,64,PH,1516867518,72,15.79,120.99,79.36,3.4
226,port lincoln,0,AU,1516867612,67,-34.72,135.86,74.72,9.44
227,boulsa,0,BF,1516867612,29,12.66,-0.57,69.19,11.68
228,qaqortoq,92,GL,1516866600,29,60.72,-46.03,37.4,18.34
229,roebourne,36,AU,1516867614,35,-20.77,117.15,100.37,11.01
230,uyskoye,0,RU,1516867614,71,54.37,60.01,-10.42,4.63
231,smithers,90,CA,1516863840,100,54.78,-127.17,23.0,3.36
232,minbu,0,MM,1516867615,59,20.18,94.88,82.1,4.74
233,praia da vitoria,75,PT,1516863600,66,38.73,-27.07,55.4,11.23
234,flin flon,48,CA,1516867627,78,54.77,-101.88,-8.22,5.86
235,laguna,0,MX,1516867127,67,27.52,-110.01,44.93,1.39
236,kabompo,0,ZM,1516867628,73,-13.6,24.21,79.85,6.2
237,bighapur,90,IN,1516865400,87,26.35,80.68,57.2,5.82
238,eyl,0,SO,1516867629,77,7.98,49.82,78.91,15.7
239,sisimiut,0,GL,1516867630,100,66.94,-53.67,-5.34,4.74
240,tual,24,ID,1516867630,97,-5.67,132.75,85.84,15.48
241,karpogory,0,RU,1516867086,69,64.0,44.44,17.35,14.36
242,inta,48,RU,1516867631,71,66.04,60.13,13.61,5.64
243,mathbaria,0,BD,1516867631,53,22.29,89.96,80.53,6.42
244,santo antonio do ica,92,BR,1516867632,100,-3.1,-67.94,71.35,3.29
245,kuybyshevo,0,UA,1516867633,100,44.63,33.86,29.36,7.99
246,porto novo,40,BR,1516863600,94,-23.68,-45.44,71.6,3.36
247,olinda,90,EC,1516863600,88,-2.03,-79.75,77.0,8.05
248,panjab,0,AF,1516867634,79,34.38,67.02,25.18,2.95
249,castro,0,CL,1516867036,96,-42.48,-73.76,48.49,6.87
250,broken hill,0,AU,1516867635,26,-31.97,141.45,95.83,6.98
251,masindi,32,UG,1516867636,80,1.69,31.72,78.55,0.72
252,roald,75,NO,1516866600,100,62.58,6.12,41.0,12.75
253,cabedelo,0,BR,1516863600,94,-6.97,-34.84,73.4,2.24
254,vanimo,80,PG,1516867637,100,-2.67,141.3,83.36,8.99
255,san cristobal,75,EC,1516863600,93,-0.39,-78.55,50.0,12.75
256,carauari,92,BR,1516867638,97,-4.88,-66.9,72.65,3.74
257,sao lourenco do sul,92,BR,1516867639,85,-31.37,-51.98,68.78,9.22
258,kuusamo,90,FI,1516866600,86,65.96,29.19,28.4,12.75
259,cayenne,90,GF,1516865400,78,4.94,-52.33,78.8,5.82
260,meulaboh,80,ID,1516867641,95,4.14,96.13,84.35,4.63
261,calama,0,CL,1516863600,47,-22.46,-68.93,55.4,4.7
262,wiang sa,20,TH,1516865400,74,8.64,99.37,87.8,8.05
263,dothan,75,US,1516865940,69,31.22,-85.39,44.6,8.99
264,basco,1,US,1516865700,92,40.33,-91.2,30.2,6.93
265,pointe michel,24,DM,1516867655,92,15.25,-61.38,79.13,18.84
266,moramanga,0,MG,1516867656,59,-18.95,48.23,79.63,3.96
267,bethel,90,US,1516863180,76,60.79,-161.76,-5.81,4.41
268,aguimes,75,ES,1516865400,67,27.91,-15.45,62.6,16.11
269,dasuya,0,IN,1516867657,68,31.81,75.66,64.91,6.87
270,athni,0,IN,1516867658,60,16.73,75.07,80.26,4.52
271,phan thiet,12,VN,1516867535,77,10.93,108.1,82.06,16.15
272,lompoc,1,US,1516865700,93,34.64,-120.46,46.4,3.36
273,waipawa,0,NZ,1516867660,73,-39.94,176.59,70.36,1.16
274,kahului,40,US,1516863360,73,20.89,-156.47,69.8,10.29
275,thinadhoo,76,MV,1516867661,100,0.53,72.93,82.46,14.25
276,buenos aires,0,AR,1516863600,59,-34.61,-58.44,62.6,10.29
277,touros,92,BR,1516867205,86,-5.2,-35.46,78.77,7.99
278,payo,68,ID,1516867664,41,-3.75,103.64,92.63,7.99
279,geraldton,90,CA,1516863600,92,49.72,-86.95,6.8,2.24
280,atherton,76,GB,1516866600,80,53.52,-2.49,42.8,9.17
281,chicama,0,PE,1516863600,94,-7.84,-79.15,68.0,2.24
282,the valley,12,AI,1516867667,99,18.22,-63.06,78.5,19.73
283,karasburg,0,NA,1516867668,32,-28.01,18.75,83.41,6.64
284,port elizabeth,90,US,1516866900,50,39.31,-74.98,33.8,9.17
285,vila,75,IT,1516867200,86,45.18,8.4,41.0,2.73
286,duvan,48,RU,1516867669,55,55.69,57.9,18.88,5.19
287,suntar,68,RU,1516867670,64,62.16,117.65,-21.49,3.29
288,leon valley,1,US,1516866960,65,29.5,-98.62,39.2,2.73
289,pierre,1,US,1516863180,100,44.37,-100.35,21.2,4.7
290,macae,0,BR,1516863600,88,-22.37,-41.79,73.4,10.29
291,saint-francois,0,FR,1516867200,62,46.42,3.91,53.6,14.99
292,sinnamary,80,GF,1516867090,95,5.38,-52.96,79.36,12.46
293,sol-iletsk,20,RU,1516867673,79,51.16,55.0,9.2,15.82
294,tianpeng,100,CN,1516867673,99,28.88,112.34,30.17,18.28
295,nizhniy baskunchak,80,RU,1516867674,84,48.22,46.83,24.91,7.31
296,zhezkazgan,0,KZ,1516863600,76,47.8,67.71,-9.41,13.42
297,hakui,75,JP,1516866120,86,36.89,136.78,26.6,6.93
298,orocue,64,CO,1516867676,63,4.79,-71.34,80.89,8.32
299,zhigansk,36,RU,1516867167,57,66.77,123.37,-32.02,3.96
300,luwuk,92,ID,1516867676,82,-0.95,122.79,84.58,6.64
301,port-gentil,20,GA,1516863600,88,-0.72,8.78,80.6,5.53
302,say,0,NE,1516867678,36,13.1,2.36,66.13,9.78
303,ahipara,0,NZ,1516867678,94,-35.17,173.16,68.83,7.2
304,rondonopolis,44,BR,1516867679,90,-16.46,-54.64,72.47,2.62
305,ilulissat,0,GL,1516866600,50,69.22,-51.1,8.6,5.82
306,wloclawek,36,PL,1516867679,92,52.65,19.07,35.08,13.47
307,lesnoy,92,RU,1516867680,76,59.78,52.13,15.28,9.44
308,celestun,64,MX,1516867681,96,20.87,-90.4,73.15,26.33
309,nizwa,0,OM,1516867133,24,22.93,57.53,80.53,3.96
310,karpathos,20,GR,1516866600,42,35.51,27.21,48.2,40.26
311,whitehorse,90,CA,1516863600,84,60.72,-135.06,-0.41,5.82
312,zhangye,0,CN,1516867091,54,38.94,100.46,24.23,3.74
313,vestmannaeyjar,0,IS,1516863600,80,63.44,-20.27,30.2,23.04
314,honiara,90,SB,1516867200,100,-9.43,159.96,77.0,3.36
315,cururupu,100,BR,1516867685,92,-1.82,-44.87,77.06,3.62
316,cuenca,44,ES,1516867686,85,40.07,-2.13,36.88,5.19
317,port hedland,0,AU,1516867200,59,-20.31,118.58,95.0,19.46
318,shimoda,20,JP,1516863600,32,34.7,138.93,41.0,3.36
319,kenora,90,CA,1516865700,92,49.76,-94.48,17.6,4.7
320,salalah,0,OM,1516863000,47,17.01,54.1,77.0,2.24
321,iralaya,24,HN,1516867689,100,15.0,-83.23,73.33,6.42
322,mehamn,75,NO,1516866600,79,71.03,27.85,21.2,11.41
